689,11.72,44.23,85.26,95.26,689.00,10.60,95.21,56.17,23.37,16.11,11.18,0.29,3.92,0.58,0.15,7.26,5.22,8.27,11.18,8.85,4.93,2.32,21.04,3.19,1.31,0.73,0.73,2.32,8.71,6.53,1.89,0.58,0.15,0.87,10.45,0.73,0.15,0.73,0.29,14.66,5.08,0.87,1.31,4.21,2.18,2.61,3.19,0.87,1.31,0.44,1.02,0.00,1.02,0.00,0.00,5.81,1.16,1.45,1.74,1.89,0.29,3.48,16.98,1.02,10.30,1.45,4.21,4.64,1.45,1.16,0.00,0.15,0.00,0.29,10.30,0.00,3.19,1.16,7.69,0.00,10.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.39,0.00,3.77
755,6.97,6.07,94.98,63.44,755.00,12.32,96.95,60.79,24.64,16.69,14.30,0.40,0.53,0.79,0.66,7.95,5.17,9.80,14.30,7.02,5.96,4.24,22.91,5.30,2.65,3.18,0.40,1.06,10.20,6.09,4.11,1.59,1.85,0.00,6.49,1.46,0.26,1.46,1.06,12.32,3.84,1.99,0.93,1.99,0.26,4.11,2.38,0.79,0.79,0.40,2.78,0.93,0.79,0.40,0.66,4.77,0.93,0.40,1.46,2.25,0.40,5.83,15.76,0.53,10.33,1.59,4.50,4.37,0.93,1.06,0.13,0.00,0.40,0.00,6.49,0.26,2.65,3.44,2.65,0.00,9.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.95,0.00,1.85
918,19.66,18.88,83.76,50.14,918.00,12.20,96.08,57.52,21.79,16.67,13.51,0.33,0.76,0.65,1.42,5.12,4.47,12.09,10.35,6.54,6.75,3.59,19.72,4.36,1.96,0.76,0.76,1.42,7.41,4.25,2.94,0.33,1.09,0.76,9.48,0.76,0.54,0.87,0.22,11.98,3.49,1.09,2.51,2.40,0.65,2.29,3.81,0.76,1.53,1.53,1.74,0.44,0.54,0.00,0.44,6.86,2.18,1.31,2.29,0.98,0.76,5.45,11.98,0.76,10.78,0.98,5.12,4.79,1.85,1.09,0.76,0.44,0.11,0.11,7.52,0.00,1.31,2.51,4.90,0.00,7.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.45,0.00,1.63
1573,24.84,57.81,72.58,44.38,1573.00,10.17,95.36,51.94,20.98,15.26,9.15,0.45,3.75,0.76,1.14,5.72,3.75,9.35,8.84,5.28,6.74,1.27,20.79,2.73,1.21,1.14,1.40,2.16,4.96,2.92,1.91,0.06,0.38,0.64,10.30,0.70,0.45,0.19,1.34,13.29,5.91,1.59,1.21,2.61,0.57,2.10,1.40,0.32,0.70,0.38,1.21,0.32,0.32,0.00,0.57,7.57,1.84,2.16,1.21,2.03,0.76,5.21,13.41,0.95,9.41,1.53,3.31,4.64,1.78,1.46,0.06,1.40,0.19,0.00,12.27,0.00,0.76,0.45,11.32,0.00,6.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,0.00,3.56
886,33.92,43.27,89.59,75.95,886.00,11.29,93.68,52.71,18.74,13.66,9.26,0.34,2.82,0.45,0.79,5.08,6.88,9.71,8.69,8.01,5.30,2.14,19.30,4.40,2.26,2.71,1.13,1.69,6.32,4.40,1.69,0.23,1.02,0.00,8.35,0.56,0.56,0.90,0.11,11.63,3.61,0.56,1.35,3.16,1.35,1.81,1.35,0.11,0.90,0.23,1.35,0.11,1.02,0.11,0.00,7.56,1.81,2.03,1.69,2.14,0.90,4.29,13.32,1.47,15.69,3.61,6.21,7.00,2.14,2.48,0.45,0.00,0.00,0.00,7.56,0.00,0.34,2.03,5.08,0.00,8.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.29,0.00,3.84
1798,20.17,17.36,90.80,81.79,1798.00,12.90,94.22,57.62,20.91,14.35,11.46,0.50,1.00,0.95,0.44,6.51,5.23,11.46,11.57,8.12,6.12,2.17,20.36,4.62,2.00,0.72,1.22,2.34,6.95,5.01,1.89,0.17,0.61,0.39,7.23,0.22,0.67,0.00,1.28,14.07,3.34,0.89,1.06,3.50,1.50,4.51,2.45,0.78,1.06,0.50,2.06,0.67,0.56,0.11,0.44,7.23,2.11,1.50,1.67,2.17,0.61,5.01,13.35,0.44,11.68,1.56,6.17,4.00,2.00,0.83,0.06,0.06,0.22,0.00,4.84,0.00,0.22,0.28,4.45,0.00,7.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.12,0.00,1.67
511,32.62,31.24,67.23,99.00,511.00,16.05,94.13,45.40,17.22,12.13,8.41,0.20,2.15,1.17,0.20,5.09,5.09,7.44,8.41,4.11,4.70,4.89,19.96,6.07,2.15,1.57,1.37,1.57,11.15,10.18,0.98,0.20,0.39,0.39,10.76,1.17,1.17,1.37,0.20,14.68,3.33,1.96,1.17,5.68,0.59,4.70,4.31,0.59,3.13,0.59,1.96,0.59,1.17,0.00,0.20,6.46,1.96,2.15,1.57,1.37,0.00,2.94,12.92,0.39,9.59,1.76,5.87,2.35,1.57,3.33,0.20,0.00,0.00,0.20,11.55,0.00,2.35,2.94,8.02,0.00,13.11,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,6.65,0.00,6.26
787,21.04,53.05,74.25,84.19,787.00,12.45,95.17,51.59,17.15,12.07,8.01,0.25,2.67,0.25,0.89,5.08,3.43,10.55,10.67,7.75,7.24,2.92,19.57,6.48,3.05,1.02,2.41,3.05,8.64,5.84,2.54,0.51,0.25,1.14,12.45,0.89,0.13,0.89,0.00,11.56,1.27,1.14,0.76,4.07,1.27,3.68,1.91,0.00,0.64,1.14,1.14,0.25,0.64,0.00,0.00,8.26,2.29,2.16,1.91,2.41,0.38,3.94,15.63,0.89,12.96,2.67,4.19,6.61,2.41,1.40,0.38,0.38,0.25,0.00,7.50,0.00,0.00,0.89,6.61,0.00,8.89,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,6.23,0.00,2.54
2033,11.54,63.85,67.41,94.37,2033.00,11.02,95.23,58.39,22.33,14.51,7.28,1.52,2.36,1.18,2.16,7.82,4.38,9.99,10.62,7.72,8.90,2.07,20.12,4.38,1.87,1.67,0.79,1.33,9.05,6.74,2.26,0.20,0.74,0.69,13.28,0.89,0.49,1.13,0.64,13.08,2.95,1.48,1.67,1.87,1.43,4.23,2.46,0.54,1.33,0.49,2.02,0.59,0.39,0.00,0.25,9.84,4.03,0.98,1.67,3.10,0.49,4.97,13.63,1.62,12.10,2.21,5.61,4.67,2.02,1.92,0.54,0.10,0.10,0.05,5.46,0.05,0.54,0.98,3.79,0.10,8.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.36,0.00,3.20
483,50.60,20.38,79.20,29.22,483.00,15.73,96.69,48.03,15.73,10.14,8.07,0.21,1.24,0.00,0.62,5.59,5.18,11.80,9.32,4.55,4.35,3.31,21.12,3.73,1.04,0.83,0.62,2.28,8.07,4.14,3.93,0.41,0.00,3.52,4.35,0.00,0.00,0.00,0.00,15.11,4.14,1.45,0.83,6.21,1.45,2.69,3.11,0.41,1.86,0.83,2.07,1.04,0.83,0.00,0.00,5.59,0.41,2.28,1.04,1.66,0.41,1.86,18.22,1.04,11.80,2.48,6.00,3.52,6.00,2.07,0.00,0.62,0.00,0.00,16.56,0.00,2.69,1.45,14.70,0.00,14.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.80,0.00,8.90
